Variable,A09
(Intercept),0.041829236304898994
Acetamide,-0.003033575414172651
Acetonitrile,0.0014421802972599048
Acetophenone,7.936538579573791e-4
"Acifluorfen, sodium salt",6.446924419820113e-4
Acrolein,-0.005048613034026888
Acrylic acid,-0.0015113878930561725
Acrylonitrile,-0.010476519624972949
Alachlor,-3.811785113394024e-5
Allyl alcohol,-8.70093634753396e-5
Allylamine,7.232270356437559e-4
Aluminum (fume or dust),-0.0025999152014933827
Aluminum oxide (fibrous forms),-6.083113981822719e-5
Aluminum phosphide,-2.2019664018333208e-4
Ammonia,0.0026212116638375887
o-Anisidine,2.1885640191768776e-4
Anthracene,-0.002858978963913029
Antimony,-6.809458327386455e-4
Antimony compounds,-0.003805674671127237
Arsenic,-0.0011554506179560441
Arsenic compounds,-0.004032315099632353
Barium compounds,-0.002922304814468015
Benzal chloride,-0.0431250095406166
Benzene,-2.968521029157073e-7
Benzoyl chloride,-0.0016807471773151563
Beryllium compounds,-1.2013144390799868e-4
Bis(2-chloro-1-methethyl)ether,0.0011240857335301992
Bis(2-chloroethyl)ether,0.014473990265911979
Boron trifluoride,-6.301081261400104e-4
Bromoform (Tribromomethane),-4.6276711564405054e-4
Bromomethane (Methyl bromide),0.0014866480470731198
Bromotrifluoromethane (Halon 1301),-9.167804853732882e-4
"2,4-D butoxyethyl ester",-1.74202335950708e-5
tert-Butyl alcohol,0.019940393995328237
Butyl acrylate,0.0048571267585201736
n-Butyl alcohol,-0.002843147054028568
sec-Butyl alcohol,0.0022312962189481884
"1,2-Butylene oxide",-0.0012020835614894242
Butyraldehyde,-6.520468699659986e-4
C.I. Solvent Yellow 14,-6.096340156991812e-6
CFC 115 (chloropentafluoroethane),8.595009941019115e-4
Captan,7.490106070655103e-4
Carbon disulfide,0.0034185788150781268
Carbon tetrachloride,0.01923877593323868
Carbonyl sulfide,-9.827167726969373e-4
Carboxin,-1.597773818278194e-4
Catechol,-0.00100915349566106
Chlorine,-0.005014595753963577
"2-Chloro-1,1,1,2-tetrafluoroethane",-0.0011403809511954198
"2-Chloro-1,1,1-trifluoroethane",-0.007018749475519429
"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)",6.313977431422533e-4
"1-Chloro-1,1-difluoroethane",-0.032907672609122675
3-Chloro-2-methyl-1-propene,-0.011777527267651291
Chloroacetic acid,-0.007766937181078222
"1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane",-0.004425820975742308
Chloroethane (Ethyl chloride),-0.013200558487371292
Chloromethyl methyl ether,-0.004479199154701748
Chlorophenols,-0.003919813101341893
Chloropicrin,-0.0013766991954984069
Chloroprene,-0.006348660457217007
Chlorotrifluoromethane,-6.887784436033116e-4
Chlorsulfuron,0.0061495087415792404
Chromium,-0.0032309886197999095
